acc,loss,val_acc,val_loss
0.5767426273458445,0.7386081490376041,0.5060483870967742,0.88269216399039
0.6301943699731903,0.6438150882081756,0.5383064516129032,1.0940437893713675
0.6529825737265416,0.626777366243163,0.6139112903225806,0.8705284499352978
0.6730898123324397,0.6008392947928196,0.6199596774193549,0.6596055357686935
0.6813002680965148,0.5893341181425243,0.6018145161290323,0.7491229522612787
0.6878351206434317,0.592979481808302,0.5685483870967742,0.9482249021530151
0.6992292225201072,0.5780645747926216,0.6784274193548387,0.6240674795642975
0.7158176943699732,0.5550187316401075,0.5846774193548387,0.9312528621765875
0.7186662198391421,0.5493026366182691,0.5362903225806451,1.6825140483917729
0.7206769436997319,0.5516772856661206,0.6068548387096774,1.0539583467668103
